role,company,type,region_focus,project_examples,contact_site,contact_phone,priority,source_date,notes
general_contractor,ООО «РКС-НР» (РКС-Новороссия),госпорядчик_федеральный,"Мариуполь, Донецк, Луганск","Координация восстановления; пр. Победы Мариуполь; 874 МКД",https://rks-nr.ru/,,A+,2026-04,"Дочка РосКапСтроя. Дир: Ильдар Шарипов. Офис Ростов + филиалы Донецк/Луганск. Выручка 2022 — 22 млрд ₽. Активно выдаёт subcontracts"
general_contractor,ППК «Единый заказчик Донбасс»,госпорядчик_Минстрой,"Мариуполь Донецк","Иртышский микрорайон; 8 девятиэтажек",https://singlecustomer.ru/,,A+,2026-04,"Панельное и блочное ОБД-домостроение. Нанимает субподрядчиков"
general_contractor,ВСК Военно-строит. компания МО,госпорядчик_силовой,"Мариуполь","ЖК «Невский» 12 пятиэтажек 1011 кв-р",https://vsk.mil.ru/,,A,2026-04,"Берёт субподряд — Олимпситистрой Геоизол"
general_contractor,ГК «ЕКС»,госпорядчик_федеральный,"Мариуполь 230+ объектов","Все виды работ",https://eks-group.ru/,,A,2026-04,"Вл: Алексей Власов. Активно ищет субподрядчиков на своих площадках"
subcontractor,ООО «Олимпситистрой»,субподрядчик_жилье,"Мариуполь","ЖК Невский реальный исполнитель",,,B,2026-04,"Указан на паспорте объекта. Работает на ВСК"
subcontractor,ООО «Р-Строй»,субподрядчик_жилье,"Мариуполь","Восстановление МКД совместно с РКС-НР (пр. Победы)",,,B,2026-04,"Вл: Николай Милькис Константин Нуриев"
subcontractor,ООО «Ленмонтаж»,субподрядчик_инж_сети,"Мариуполь","Отопление ГВС ХВС канализация котельные сантехника",,,B,2026-04,"Всеволожск 30 лет на рынке. 812 человек в 2021. Собственники Голубовы + Золотухин"
subcontractor,ООО «Строит. Компания Гарант»,субподрядчик_общестрой,"Донбасс","Набирает разнорабочих-вахтовиков",,,C,2026-04,"Субподряд в общестрое"
subcontractor,ООО «МагМа Групп» (СПб),субподрядчик_жилье,"Мариуполь","Общежитие ПГТУ; жилмассивы",,,B,2026-04,"Выручка 2022 — 740 млн ₽. Ранее Дальпитерстрой"
subcontractor,ООО «Демолишн» (СПб),снос_и_стройка,"Мариуполь","Возведение жилмассива",,,B,2026-04,"Выручка 2021 — 453 млн ₽. Связан с донецким тёзкой через совладение"
subcontractor,ООО «Оборонспецстрой»,субподрядчик_МО,"Мариуполь","ЖК Невский (для МО)",,,C,2026-04,"Специализация — объекты МО"
subcontractor,ООО «Геоизол» (СПб),субподрядчик_инженерный,"Мариуполь","Субподряд ВСК",https://geoisol.ru/,,C,2026-04,"Фундаменты гидроизоляция"
subcontractor,ПАО «ОБД»,поставка_конструкций,"Мариуполь","Панельные дома Иртышский мкр",https://obd.ru/,,B,2026-04,"Крупный подрядчик Краснодарского края"
developer,СК «Выбор» (Воронеж),застройщик_федеральный,"Мариуполь","Строительство жилых домов",https://vbr.house/,,B,2026-04,"Воронеж"
developer,СЗ «СУ-2007» / «СУ-2007 ИНВЕСТ»,застройщик_крупный,"Мариуполь 4 площадки","ЖК Ленинградский Квартал 15 домов 12-15 эт; ввод 40 314 м² 2025",http://ленинградский-квартал.рф/,,A,2026-04,"Краснодар. Модульное блочное домостроение. Крупнейший поставщик по восстановлению"
developer,«Дом РФ» АО,госзастройщик,"Мариуполь 8 площадок 72,8 тыс м²","9-эт 4,3 тыс м² ул. Артёма 2026; бул. Шевченко; пр. Лунина",https://xn--d1aqf.xn--p1ai/,,A,2026-04,"Вышел в Мариуполь весной 2025"
developer,ГК «Проект Инвест» (Воронеж),застройщик_частный,"Мариуполь","ЖК Нахимовский",,,B,2026-04,"Первый коммерческий проект воронежцев в новых регионах"
developer,ООО «Вертикаль ЮГ»,застройщик_частный,"Мариуполь","ЖК Левобережный 2 литера 7-9 эт побережье",,,B,2026-04,"Ипотека 2% с ПВ 10%"
developer,ООО «ТЕМП»,застройщик_частный,"Мариуполь","ЖК Кипарис 15 эт Центр; ЖК Нахимов 2×9 эт 5 мин до набережной",,,B,2026-04,"Центральный район. Собственная котельная"
developer,СЗ Региональная СК (РСК-ДНР),застройщик_локальный,"Мариуполь","ЖК «Олимпийский»; ЖК «Жукова»",https://rskdnr.ru/,,B,2026-04,"Монолит-железобетон. Ипотека 2% от 10,1% ПВ. От 4 млн ₽"
developer,ООО «ЮгСтройИнвест»,застройщик_крупный,"Мариуполь",,,B,2026-04,"Коммерческая застройка"
state_customer,ООО «РКС-Девелопмент»,гензаказчик_девелопер,"Мариуполь","Соцобъекты жилье",,,A,2026-04,"Учреждена РКС-Новороссия в мае 2023. Руководит Константин Лопухов"
state_customer,ГУП ДНР «Вода Донбасса»,муниципальный_ГУП,"Донецк Макеевка Горловка","Инж.сети водоотлив станции",https://vd-dnr.ru/,,A,2026-04,"Активный заказчик на komtender: Станция водоотлива Макеевка (2442097199)"
