role,company,type,inn,ogrn,legal_address,gen_director,phone,email,website,revenue_2024_2025,employees,priority,notes
general_contractor,ООО «РКС-НР» (РКС-Новороссия),госпорядчик_федеральный,6168116983,1226100012115,"87500 (287500), Донецкая обл., г. Мариуполь, пер. Нахимова, д. 6",Шарипов Ильдар Радикович,+7 (495) 147-22-33,mail@rks-nr.ru,"ркс-нр.рф / rks-nr.ru","22 млрд ₽ (2022)",сотни,A+,"Восстанавливает 2000+ объектов. PR/связи: nazarova@rks-nr.ru. Telegram: t.me/rks_nr. Дочка ФАУ «РосКапСтрой»"
general_contractor,ППК «Единый заказчик в сфере строительства»,госпорядчик_Минстрой,7707448255,1217700030162,"127051, Москва, ул. Садовая-Самотёчная, д. 10",—,—,—,ppk-ez.ru,Федеральное финансирование,сотни,A+,"44-ФЗ и 223-ФЗ. 5331 активных тендеров (bicotender). Закупки через zakupki.gov.ru и roseltorg. Владелец Иртышского мкр в Мариуполе через Единый Заказчик"
general_contractor,ВСК (Военно-строительная компания МО),госпорядчик_силовой,—,—,—,—,—,—,vsk.mil.ru,—,—,A,"ЖК «Невский» 12 пятиэтажек 1011 кв-р. Создана 2019 на базе Спецстроя. Привлекает субподрядчиков Олимпситистрой и Геоизол"
general_contractor,АО «ГК «ЕКС»,госпорядчик_федеральный,—,—,—,Алексей Власов (ген.дир.),—,—,eks-group.ru,64.6 млрд ₽ (2021),—,A,"230+ объектов в Мариуполе. Совместно с РКС-НР восстанавливает МКД на ул. Шевченко. Связи с семьёй Ротенбергов (по слухам)"
state_customer,АО «Инфраструктурные Проекты»,энергетика_ключевой,1500004950,1221500003812,"283048, Донецкая Народная Респ., г. Донецк, пр-кт Титова, д. 8Б",Лезин Алексей Владимирович,—,—,—,30.9 млрд ₽ (2025) прибыль 1.26 млрд ₽,1020,A+,"УК 50 млн ₽. Филиалы: Старобешевская ТЭС (пгт. Новый Свет Старобешевский р-н), Зуевская ТЭС (Зугрэс), ДПР Донецк (пр-кт Павших коммунаров, 83). Закупки 223-ФЗ через roseltorg. Уголь, топливо, стройматериалы, РЗА, лабоборудование"
state_customer,ГУП ДНР «Вода Донбасса»,муниципальный_ГУП_водоснабжение,9303031163,1229300171715,"283001, Донецк, ул. Артема, д. 85",Григорьев Андрей Алексеевич (с 14.04.23),+7 (856) 302-94-16 (приёмная); 988; +7 (949) 099-54-01 (колл-центр),info@vodadonbassa.ru,vodadonbassa.ru,Выручка выросла в 3.1 раза за год,—,A,"3816 тендеров! 212 арбитражных дел. 21 лицензия. Филиалы: Мариупольское ПУВКХ (+7 949 331-76-04; +7 949 404-69-27), Волноваха +7 949 713-73-84, Амвросиевка +7 856 593-25-37, Снежное +7 856 565-37-76"
state_customer,МУП АГМ «Мариупольводоканал»,муниципальный_Мариуполь_водоканал,—,—,"286500, Мариуполь, ул. Варганова 7 + ул. Карла Либкнехта (Митрополитская) 177а",—,+7-949-331-76-04; +7-949-404-69-27,—,—,—,—,A,"Мариупольское производственное управление. Административный ресурс"
state_customer,МУП АГМ «Мариупольавтодор»,муниципальный_Мариуполь_автодор,—,—,"Мариуполь",—,+7-949-716-74-43,—,—,—,—,A,"Дороги и мосты Мариуполя. Отдельный бюджет муниципалитета"
state_customer,МУП АГМ «Мариупольжилкомплекс»,муниципальный_Мариуполь_жилкомплекс,—,—,"Мариуполь",—,+7-949-627-25-50; +7-949-716-74-60,—,—,—,—,A,"Теплоснабжение многоквартирных домов Мариуполя"
state_customer,МУП АГМ «Мариупольтранс»,муниципальный_Мариуполь_транспорт,—,—,"Мариуполь",—,+7-949-726-44-76,—,—,—,—,B,"Городской транспорт Мариуполя"
state_customer,Филиал «Мариупольтеплосеть» ГУП ДНР «Донбасстеплоэнерго»,муниципальный_теплосеть,—,—,"Мариуполь",—,+7-949-722-98-46 или 512,—,—,—,—,A,"Теплоснабжение соцобъектов"
state_customer,Мариупольский филиал ГУП ДНР «РЭК» (Региональная энергопоставляющая компания),муниципальный_электричество,—,—,"Мариуполь",—,+7-949-099-50-71; +7-949-707-42-54,—,—,—,—,A,"Электроснабжение города"
state_customer,ООО СЗ «РКС-Девелопмент»,застройщик_дочка_РКС-НР,9310007980,1239300005526,"287501, Мариуполь, пер. Нахимова, д. 6 (ранее пр. Металлургов 54А)",Лопухов Константин Константинович,—,—,—,"Выручка 33.7 млн ₽ 2024, убыток 17.9 млн ₽",13 (2024),A,"98% принадлежит ООО «РКС-НР», 2% — Лопухов (экс-министр строительства Тульской обл.). Застройщик жилья Мариуполя"
state_customer,Минстрой ДНР,гос_орган,—,—,"Донецк, пр. Б. Хмельницкого, 102",Циганов Николай Михайлович (министр); Теряев Руслан (директор дппартамента стройотрасли),"(062) 334-98-10; 334-98-12; горячая 334-98-11; Феникс (071) 308-49-11; МТС (095) 295-45-71",minstroy@minstroy-dnr.ru,"minstroy-dnr.ru / minstroy-dpr.gosuslugi.ru",федеральный,—,A+,"Координация всех восстановительных работ. Список подрядчиков формирует Минстрой РФ"
subcontractor,ООО «Р-Строй»,субподрядчик_жилье,—,—,"Мариуполь",—,—,—,—,создано май 2022,—,B,"Владельцы: Николай Милькис, Константин Нуриев. Совместно с РКС-НР восстанавливает МКД"
subcontractor,ООО «Ленмонтаж» (Всеволожск),субподрядчик_инж_сети,—,—,"Ленинградская обл., Всеволожск",Андрей Голубов,—,—,—,—,"812 чел. в 2021",B,"Собственники: Голубовы + Золотухин. 30 лет рынок. Отопление/ГВС/ХВС/канализация/котельные Мариуполь"
subcontractor,ООО «МагМа Групп» (СПб),субподрядчик_подрядчик,—,—,"СПб",—,—,—,—,740 млн ₽ (2022),—,B,"Ранее — Дальпитерстрой (Шушары Всеволожск). Общежитие ПГТУ + жилмассивы Мариуполя"
subcontractor,ООО «Демолишн» (СПб),снос_и_стройка,—,—,"СПб + Донецк",—,—,—,—,453 млн ₽ (2021),—,B,"Связан с донецким тёзкой через совладение. Возведение жилмассива"
subcontractor,ООО «Испыт. центр Стройэксперт» (СПб),проектирование_надзор,—,—,"СПб",—,—,—,—,1.2 млрд ₽ (2022),—,B,"Собственники: Денис Мотуз, Галина Архипова. Филармония Мариуполя + авторский надзор"
subcontractor,ООО «Геоизол» (СПб),субподрядчик_инженерный,—,—,"СПб",—,—,—,geoisol.ru,—,—,C,"Инженерные работы, фундаменты, гидроизоляция. Субподряд ВСК"
subcontractor,ООО «Олимпситистрой»,субподрядчик_жилье,—,—,"?",—,—,—,—,—,—,B,"Реальный исполнитель ЖК Невский (по паспорту объекта) для ВСК"
subcontractor,ПАО «ОБД» (Краснодар),поставка_конструкций,—,—,"Краснодарский край",—,—,—,obd.ru,—,—,B,"Панельные и блочные дома для Иртышского мкр через Единый Заказчик"
subcontractor,ООО «Геострой-2010»,субподрядчик_РКС-НР,—,—,"?",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР. Детали искать в ЕГРЮЛ"
subcontractor,ООО «ССТ»,субподрядчик_РКС-НР,—,—,"?",—,—,—,—,—,—,C,"Упомянут как партнёр РКС-НР"
