role,company,category,inn,ogrn,legal_address,gen_director_or_manager,phone,email,website,revenue_2024,price_benchmark,priority,notes
producer_federal_key,ОАО «Новоросцемент»,цемент_ЮФО_ключевой_производитель,2315020195,1022302378207,"353902, Краснодарский край, г. Новороссийск, Сухумское шоссе, д. 60",Управляющая компания — АО «Газметаллпроект» (ИНН 9706045747) с 05.2024,"+7 (8617) 265-303 (Начальник Управления продаж); 61-35-18; 64-18-42; 26-53-03; 26-52-32; 28-15-11",secretary@novoroscement.ru,www.novoroscement.ru,"31.16 млрд ₽ прибыль 2.83 млрд","5500-6500₽/т навал; 400-550₽ мешок 50кг; 6500-7500₽/т биг-бэг",A+,"УК 233.94 млн ₽. 1753 сотрудника. 20 лицензий. 3 завода (Пролетарий, Октябрь, Первомайский), мощность 4.1 млн т/год (6% РФ). Станции отгрузки: ж/д Новороссийск (5209001), Тоннельная (52140). Вагоны: +7 (8617) 281-120. Есть намерение кредитора обанкротить — проверять актуальный статус. Основан в 1882 г. 580 км до Мариуполя"
producer_federal_key,АО «Себряковцемент»,цемент_поволжье_стабильный,3437000021,1023405564522,"403342, Волгоградская обл., г. Михайловка, ул. Индустриальная, д. 2",Рогачев Сергей Петрович (с 11.2002),"+7 (84463) 4-07-98 (отдел продаж); 4-14-09; 2-96-61; 3-04-93; 2-94-27; 2-94-93; 2-97-86; +7 (937) 752-37-99 моб",sc@reg.avtlg.ru,https://sebcement.ru/,"17.27 млрд ₽ прибыль 2.66 млрд","5200-6800₽/т",A+,"УК 137к ₽. 1144-1200 сотрудников. ISO 9001:2008 + Росстройсертификация. Рогачев у руля 20+ лет — стабильный партнёр. Дочерний ЗАО Себряковский цемент и бетон (ул. Индустриальная 8, тел 84463 2-95-33). 36 исп.производств, 254 арбитражных дела. Учредитель ЗАО СУПЕРСТРОМТ (ИНН 7714020037). 700-800 км до Мариуполя"
producer_federal_key,АО «Кавказцемент» → Кавказский филиал АО «ЦЕМРОС»,цемент_кавказ_филиал_ЦЕМРОСа,0909000840,1020900730003,"369300, КЧР, Усть-Джегутинский район, г. Усть-Джегута, уч-к Промплощадка цемзавода",Богомазов С.Н./Сокольцов В.Ю. (через АО ЦЕМРОС),"(87822) 3-21-12",info@kavkazcement.ru,"https://cemros.ru/ (головной); исторический kavkazcement.ru","прибыль 3.13 млрд ₽ 2024","5500-7000₽/т",B,"ПРИСОЕДИНЕНО К АО ЦЕМРОС в ходе реорганизации. Исторический завод с 1974. 4 вращающиеся печи, мокрый способ, газ. Пик 2753 тыс. т (1987). Продукция: ЦЕМ I 42.5Н, ЦЕМ II/А-Ш 42.5Н, ЦЕМ II/А-Ш 32.5Б, ПЦ 500-Д0-Н, ССПЦ 500-Д20, ССПЦ 400-Д20. Регионы сбыта исторически: КЧР, Кабардино-Балкария, Ингушетия, Ростовская обл., Чечня. Контакт через АО ЦЕМРОС"
perevalochny_punkt,ООО «ПКФ «ДонЦемент»,цемент_перевалка_Аксай,,,"Ростовская обл., г. Аксай, ул. Западная, 2А",,"+7 928 109 66 77",,https://doncem.ru/,,"8000₽/т биг-бэг; 450₽/30кг мешок",A+,"С 2005 года. Перевалка с Евроцемент. Партнёр-перевозчик ООО Мостранс. Логистика по ЮФО. Мраморная крошка 5-200 мм. Для Мариуполя логистика 3-4 часа авто по Р-280"
birzhevoy_broker,ООО «Компания РОСТ»,цемент_биржа_брокер,,,"Москва",,,,https://www.c-rost.ru/,,договорная,A,"Биржевой брокер на НП Московская Фондовая Биржа с 2007. Поставщики: Евроцемент/ЦЕМРОС, Новоросцемент. Гибкие условия: предоплата + отсрочка. Backup-канал при проблемах с прямым поставщиком"
holding_cement,АО «ЦЕМРОС» (бывш. Евроцемент груп),цемент_холдинг_федеральный,,,"Москва",,,,https://cemros.ru/,,"5500-7000₽/т",A+,"Крупнейший цементный холдинг России. Переименован в 2023 из Евроцемент. Заводы в Воронеже, Белгороде, Мордовии + Кавказский филиал (Усть-Джегута). Ближайший для ДНР — Белгородский цементный завод"
equipment_supplier,ООО «ТД «Мека»,оборудование_ВСК,6316220518,1166313084255,"443090, Самара, ул. Советской Армии, д. 180, стр. 1, офис 209",Лапко Андрей Владимирович,,,,"1.15 млрд ₽ (2022)",,A,"Единственный представитель турецкой Meka Engineering в РФ. Поставил ВСК 3 бетонных завода в Мариуполе. Контакт к ВСК, не конкурент по материалам"
managing_company,АО «Газметаллпроект»,управляющая_Новоросцемента,9706045747,,"Москва",,,,,,—,A,"Управляющая компания ОАО Новоросцемент с 05.2024. ИНН 9706045747. Через неё можно выходить на переговоры о гибких условиях"
related,ЗАО «Себряковский цемент и бетон» (дочерний Себряковцемента),бетон_ЖБИ_Волгоградская,,1023405571265,"403343, Волгоградская обл., г. Михайловка, ул. Индустриальная, д. 8",,"(84463) 2-95-33, факс 2-94-62",,,,,B,"Дочка АО Себряковцемент. Бывший Михайловский завод ЖБИ №2. Производство бетона и ЖБИ. Потенциальный поставщик готовых ЖБИ для Мариуполя"
carrier_quarry,АО «Карбонат» (Жирновский карьер),известняк_песчаник_Тацинский,6134002000,1026101642500,"347091, Ростовская обл., Тацинский р-н, пос. Жирнов, ул. Лермонтова, 1",,"+7 928 270-10-41 (офис Ростов); +7 863 223-38-09; +7 86397 3-44-58 (производство); +7 938 138-44-44; +7 928 182-73-14",oaokarbonat@gmail.com / sales@oao-karbonat.ru / info@oao-karbonat.ru,http://oao-karbonat.ru/,,"М600 F200 лещадность II-III. Плотность 1.33-1.39 т/м3",A,"Основан в 1905 г. Жирновское месторождение известняков. Продукция: известняковый щебень, песчаник, минеральный порошок. ЖД доставка, авто, самовывоз. 450 км до Мариуполя. Координаты 48.174521, 41.189078"
carrier_quarry,ООО «Ростовский щебеночный завод»,щебень_песчаник_Красносулинский,6150092153,1166196066717,"346400, Ростовская обл., г. Новочеркасск, ул. Будённовская 173А (офис). Карьер: Красносулинский р-н, д. Большая Федоровка",,"+7 863 521-08-48; +7 863 296-02-86",a.sh@rochez.ru,,,"щебень песчаник серо-голубой, высокая прочность",A,"Бормотовское месторождение кварцито-песчаников. Отгрузка ЖД со ст. Замчалово, авто с карьера. 360 км до Мариуполя"
